Date,Open,High,Low,Close,Volume,Open Interest
2013-08-12,1.3667,1.3667,1.3667,1.3667,0.0,0.0
2013-08-13,1.3621,1.3621,1.3621,1.3621,0.0,0.0
2013-08-14,1.3624,1.3624,1.3624,1.3624,0.0,0.0
2013-08-15,1.3714,1.3714,1.3714,1.3714,0.0,0.0
2013-08-16,1.3735,1.3735,1.3735,1.3735,0.0,0.0
2013-08-19,1.3749,1.3749,1.3749,1.3749,0.0,0.0
2013-08-20,1.3825,1.3825,1.3825,1.3825,0.0,0.0
2013-08-21,1.3778,1.3778,1.3778,1.3778,0.0,0.0
2013-08-22,1.3794,1.3794,1.3794,1.3794,0.0,0.0
2013-08-23,1.378,1.378,1.378,1.378,0.0,0.0
2013-08-26,1.3769,1.3769,1.3769,1.3769,0.0,0.0
2013-08-27,1.3779,1.3779,1.3779,1.3779,0.0,0.0
2013-08-28,1.3736,1.3736,1.3736,1.3736,0.0,0.0
2013-08-29,1.3649,1.3649,1.3649,1.3649,0.0,0.0
2013-08-30,1.3604,1.3604,1.3604,1.3604,0.0,0.0
2013-09-03,1.3579,1.3579,1.3579,1.3579,0.0,0.0
2013-09-04,1.3625,1.3625,1.3625,1.3625,0.0,0.0
2013-09-05,1.3549,1.3549,1.3549,1.3549,0.0,0.0
2013-09-06,1.3621,1.3621,1.3621,1.3621,0.0,0.0
2013-09-09,1.3659,1.3659,1.3659,1.3659,0.0,0.0
2013-09-10,1.3667,1.3667,1.3667,1.3667,0.0,0.0
2013-09-11,1.3715,1.3715,1.3715,1.3715,0.0,0.0
2013-09-12,1.3697,1.3697,1.3697,1.3697,0.0,0.0
2013-09-13,1.372,1.372,1.372,1.372,0.0,0.0
2013-09-16,1.3711,1.3711,1.3711,1.3711,0.0,0.0
2013-09-17,1.3733,1.3733,1.3733,1.3733,0.0,0.0
2013-09-18,1.3878,1.3878,1.3878,1.3878,0.0,0.0
2013-09-19,1.3846,1.3846,1.3846,1.3846,0.0,0.0
2013-09-20,1.3837,1.3837,1.3837,1.3837,0.0,0.0
2013-09-23,1.382,1.382,1.382,1.382,0.0,0.0
2013-09-24,1.3792,1.3792,1.3792,1.3792,0.0,0.0
2013-09-25,1.3831,1.3831,1.3831,1.3831,0.0,0.0
2013-09-26,1.3799,1.3799,1.3799,1.3799,0.0,0.0
2013-09-27,1.3825,1.3825,1.3825,1.3825,0.0,0.0
2013-09-30,1.3849,1.3849,1.3849,1.3849,0.0,0.0
2013-10-01,1.3847,1.3847,1.3847,1.3847,0.0,0.0
2013-10-02,1.3888,1.3888,1.3888,1.3888,0.0,0.0
2013-10-03,1.3907,1.3907,1.3907,1.3907,0.0,0.0
2013-10-04,1.3842,1.3842,1.3842,1.3842,0.0,0.0
2013-10-07,1.3872,1.3872,1.3872,1.3872,0.0,0.0
2013-10-08,1.3862,1.3862,1.3862,1.3862,0.0,0.0
2013-10-09,1.381,1.381,1.381,1.381,0.0,0.0
2013-10-10,1.3809,1.3809,1.3809,1.3809,0.0,0.0
2013-10-11,1.3813,1.3813,1.3813,1.3813,0.0,0.0
