Date,Open,High,Low,Close,Volume
2017-12-15,0.0,0.0,0.0,0.0,0
2017-12-18,2883.0,2883.0,2883.0,2883.0,2
2017-12-19,2749.0,2749.0,2749.0,2749.0,2
2017-12-20,0.0,0.0,0.0,0.0,0
2017-12-21,0.0,0.0,0.0,0.0,0
2017-12-22,0.0,0.0,0.0,0.0,0
2017-12-25,0.0,0.0,0.0,0.0,0
2017-12-26,0.0,0.0,0.0,0.0,0
2017-12-27,0.0,0.0,0.0,0.0,0
2017-12-28,0.0,0.0,0.0,0.0,0
2017-12-29,0.0,0.0,0.0,0.0,0
2018-01-02,0.0,0.0,0.0,0.0,0
2018-01-03,0.0,0.0,0.0,0.0,0
2018-01-04,0.0,0.0,0.0,0.0,0
2018-01-05,0.0,0.0,0.0,0.0,0
2018-01-08,0.0,0.0,0.0,0.0,0
2018-01-09,0.0,0.0,0.0,0.0,0
2018-01-10,0.0,0.0,0.0,0.0,0
2018-01-11,0.0,0.0,0.0,0.0,0
2018-01-12,0.0,0.0,0.0,0.0,0
2018-01-15,0.0,0.0,0.0,0.0,0
2018-01-16,0.0,0.0,0.0,0.0,0
2018-01-17,0.0,0.0,0.0,0.0,0
2018-01-18,0.0,0.0,0.0,0.0,0
2018-01-19,0.0,0.0,0.0,0.0,0
2018-01-22,0.0,0.0,0.0,0.0,0
2018-01-23,0.0,0.0,0.0,0.0,0
2018-01-24,0.0,0.0,0.0,0.0,0
2018-01-25,0.0,0.0,0.0,0.0,0
2018-01-26,0.0,0.0,0.0,0.0,0
2018-01-29,0.0,0.0,0.0,0.0,0
2018-01-30,0.0,0.0,0.0,0.0,0
2018-01-31,2718.0,2718.0,2718.0,2718.0,2
2018-02-01,0.0,0.0,0.0,0.0,0
2018-02-02,0.0,0.0,0.0,0.0,0
2018-02-05,0.0,0.0,0.0,0.0,0
2018-02-06,0.0,0.0,0.0,0.0,0
2018-02-07,0.0,0.0,0.0,0.0,0
2018-02-08,2706.0,2706.0,2706.0,2706.0,2
2018-02-09,0.0,0.0,0.0,0.0,0
2018-02-12,2666.0,2666.0,2666.0,2666.0,2
2018-02-13,2651.0,2651.0,2651.0,2651.0,2
2018-02-14,0.0,0.0,0.0,0.0,0
2018-02-22,0.0,0.0,0.0,0.0,0
2018-02-23,0.0,0.0,0.0,0.0,0
2018-02-26,0.0,0.0,0.0,0.0,0
2018-02-27,2682.0,2682.0,2669.0,2669.0,4
2018-02-28,0.0,0.0,0.0,0.0,0
2018-03-01,0.0,0.0,0.0,0.0,0
2018-03-02,2726.0,2726.0,2726.0,2726.0,2
2018-03-05,0.0,0.0,0.0,0.0,0
2018-03-06,0.0,0.0,0.0,0.0,0
2018-03-07,0.0,0.0,0.0,0.0,0
2018-03-08,0.0,0.0,0.0,0.0,0
2018-03-09,0.0,0.0,0.0,0.0,0
2018-03-12,0.0,0.0,0.0,0.0,0
2018-03-13,0.0,0.0,0.0,0.0,0
2018-03-14,0.0,0.0,0.0,0.0,0
2018-03-15,0.0,0.0,0.0,0.0,0
2018-03-16,0.0,0.0,0.0,0.0,0
2018-03-19,0.0,0.0,0.0,0.0,0
2018-03-20,0.0,0.0,0.0,0.0,0
2018-03-21,0.0,0.0,0.0,0.0,0
2018-03-22,0.0,0.0,0.0,0.0,0
2018-03-23,0.0,0.0,0.0,0.0,0
2018-03-26,0.0,0.0,0.0,0.0,0
2018-03-27,2579.0,2600.0,2579.0,2600.0,10
2018-03-28,0.0,0.0,0.0,0.0,0
2018-03-29,0.0,0.0,0.0,0.0,0
2018-03-30,0.0,0.0,0.0,0.0,0
2018-04-02,0.0,0.0,0.0,0.0,0
2018-04-03,2581.0,2581.0,2581.0,2581.0,2
2018-04-04,0.0,0.0,0.0,0.0,0
2018-04-09,0.0,0.0,0.0,0.0,0
2018-04-10,0.0,0.0,0.0,0.0,0
2018-04-11,0.0,0.0,0.0,0.0,0
2018-04-12,0.0,0.0,0.0,0.0,0
2018-04-13,0.0,0.0,0.0,0.0,0
2018-04-16,0.0,0.0,0.0,0.0,0
2018-04-17,0.0,0.0,0.0,0.0,0
2018-04-18,0.0,0.0,0.0,0.0,0
2018-04-19,0.0,0.0,0.0,0.0,0
2018-04-20,0.0,0.0,0.0,0.0,0
2018-04-23,0.0,0.0,0.0,0.0,0
2018-04-24,0.0,0.0,0.0,0.0,0
2018-04-25,0.0,0.0,0.0,0.0,0
2018-04-26,0.0,0.0,0.0,0.0,0
2018-04-27,0.0,0.0,0.0,0.0,0
2018-05-02,0.0,0.0,0.0,0.0,0
2018-05-03,0.0,0.0,0.0,0.0,0
2018-05-04,0.0,0.0,0.0,0.0,0
2018-05-07,0.0,0.0,0.0,0.0,0
2018-05-08,0.0,0.0,0.0,0.0,0
2018-05-09,0.0,0.0,0.0,0.0,0
2018-05-10,0.0,0.0,0.0,0.0,0
2018-05-11,0.0,0.0,0.0,0.0,0
2018-05-14,0.0,0.0,0.0,0.0,0
2018-05-15,0.0,0.0,0.0,0.0,0
2018-05-16,0.0,0.0,0.0,0.0,0
2018-05-17,0.0,0.0,0.0,0.0,0
2018-05-18,0.0,0.0,0.0,0.0,0
2018-05-21,0.0,0.0,0.0,0.0,0
2018-05-22,0.0,0.0,0.0,0.0,0
2018-05-23,0.0,0.0,0.0,0.0,0
2018-05-24,2814.0,2838.0,2797.0,2838.0,12
2018-05-25,0.0,0.0,0.0,0.0,0
2018-05-28,0.0,0.0,0.0,0.0,0
2018-05-29,0.0,0.0,0.0,0.0,0
2018-05-30,0.0,0.0,0.0,0.0,0
2018-05-31,0.0,0.0,0.0,0.0,0
2018-06-01,0.0,0.0,0.0,0.0,0
2018-06-04,0.0,0.0,0.0,0.0,0
2018-06-05,0.0,0.0,0.0,0.0,0
2018-06-06,0.0,0.0,0.0,0.0,0
2018-06-07,0.0,0.0,0.0,0.0,0
2018-06-08,0.0,0.0,0.0,0.0,0
2018-06-11,0.0,0.0,0.0,0.0,0
2018-06-12,0.0,0.0,0.0,0.0,0
2018-06-13,0.0,0.0,0.0,0.0,0
2018-06-14,0.0,0.0,0.0,0.0,0
2018-06-15,0.0,0.0,0.0,0.0,0
2018-06-19,2836.0,2836.0,2808.0,2820.0,52
2018-06-20,2829.0,2839.0,2824.0,2839.0,12
2018-06-21,0.0,0.0,0.0,0.0,0
2018-06-22,2783.0,2783.0,2783.0,2783.0,2
2018-06-25,0.0,0.0,0.0,0.0,0
2018-06-26,2756.0,2773.0,2756.0,2773.0,14
2018-06-27,2800.0,2800.0,2800.0,2800.0,14
2018-06-28,2851.0,2853.0,2838.0,2852.0,10
